User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
12290506,male,58,181.0,84.0,11,78.0,39.9,35
17559247,male,35,193.0,90.0,23,97.0,40.7,117
18746467,male,62,196.0,93.0,17,97.0,40.6,110
12150397,female,29,169.0,69.0,15,97.0,40.4,76
19380876,female,33,177.0,72.0,14,92.0,40.3,64
10162019,female,64,151.0,50.0,6,87.0,39.4,29
16654966,male,71,168.0,74.0,18,102.0,40.3,130
13250862,female,56,158.0,57.0,6,81.0,38.9,24
10817893,female,26,173.0,68.0,27,107.0,41.0,164
13005855,female,64,172.0,70.0,13,97.0,39.8,74
16174483,male,74,185.0,93.0,9,89.0,39.7,52
15791476,female,22,149.0,50.0,8,97.0,39.1,42
19717184,female,46,174.0,68.0,9,91.0,39.6,43
16496035,female,71,161.0,64.0,19,93.0,40.5,103
18137480,female,49,174.0,72.0,20,100.0,40.6,114
18211897,female,45,165.0,65.0,29,111.0,40.9,200
16399901,male,31,186.0,90.0,16,95.0,40.0,74
18473115,female,28,160.0,61.0,15,95.0,40.2,74
16280456,female,21,170.0,70.0,15,96.0,40.2,72
14326264,female,32,185.0,85.0,8,87.0,39.8,31
17668038,female,28,164.0,59.0,9,90.0,39.5,40
10300011,female,30,165.0,61.0,4,90.0,38.8,18
17704101,female,22,155.0,51.0,1,83.0,40.2,4
16418277,female,66,163.0,60.0,29,100.0,40.8,179
19445849,female,38,162.0,60.0,17,102.0,40.3,100
14402043,male,76,196.0,97.0,13,90.0,40.0,80
19249559,male,25,202.0,100.0,9,94.0,39.8,39
13080839,male,38,180.0,81.0,20,95.0,40.5,95
10872942,female,72,145.0,49.0,25,109.0,40.6,184
16063287,male,79,199.0,101.0,11,97.0,40.1,82
16376096,male,33,190.0,95.0,15,89.0,40.2,58
10785168,male,22,170.0,68.0,21,103.0,40.4,103
18694030,female,38,166.0,61.0,28,115.0,40.8,203
18151671,female,23,163.0,59.0,23,104.0,40.7,134
17253699,male,41,194.0,96.0,22,105.0,40.6,148
14832807,female,71,180.0,76.0,13,89.0,40.3,63
11152622,male,56,190.0,95.0,26,108.0,40.9,205
12749888,female,45,187.0,63.0,21,103.0,40.6,120
11543359,female,25,153.0,50.0,9,89.0,39.8,40
16256574,female,45,156.0,57.0,27,104.0,40.6,169
12499028,female,22,165.0,64.0,15,93.0,40.3,69
17474675,male,56,179.0,83.0,29,110.0,40.9,229
19180622,female,44,146.0,49.0,27,100.0,40.7,160
17690511,female,32,151.0,51.0,23,102.0,40.5,136
13168347,female,37,151.0,51.0,30,115.0,40.9,221
13772950,male,62,185.0,92.0,21,101.0,40.7,148
11190875,male,49,205.0,101.0,30,119.0,40.8,280
17718288,male,27,187.0,85.0,17,92.0,40.4,65
13711852,female,24,162.0,62.0,15,89.0,40.1,63
15640292,female,34,165.0,61.0,17,98.0,40.2,91
19813409,female,46,165.0,68.0,2,85.0,38.3,8
12381944,female,27,158.0,59.0,24,106.0,40.4,147
16934395,male,54,180.0,87.0,13,100.0,40.0,83
17722277,female,37,174.0,70.0,21,109.0,40.7,136
17487188,female,73,167.0,71.0,27,98.0,40.7,160
10590765,male,63,200.0,105.0,15,102.0,40.3,113
10295862,female,57,173.0,71.0,19,97.0,40.8,105
16297888,male,64,209.0,107.0,23,111.0,40.7,206
15229136,female,71,164.0,67.0,19,94.0,40.2,105
10929150,male,49,202.0,102.0,20,103.0,40.4,139
16048877,male,31,187.0,88.0,12,101.0,40.1,65
18443671,male,23,180.0,78.0,17,110.0,40.8,106
14936214,female,30,159.0,58.0,10,87.0,39.9,42
16600199,female,24,160.0,55.0,9,97.0,39.7,46
12975446,male,28,192.0,88.0,4,80.0,38.8,9
18612460,female,41,188.0,79.0,25,102.0,40.4,142
16170371,male,59,181.0,85.0,6,93.0,39.6,33
19919092,male,50,180.0,83.0,29,116.0,41.2,247
19708157,male,22,164.0,69.0,29,108.0,41.0,164
10864947,male,52,191.0,85.0,2,81.0,40.2,7
19564544,male,27,180.0,86.0,26,110.0,40.6,171
15404220,female,25,152.0,56.0,9,90.0,39.5,40
18417736,male,36,197.0,96.0,23,97.0,40.4,121
13535739,male,28,199.0,96.0,29,107.0,41.1,185
17263400,male,46,195.0,93.0,17,103.0,40.4,112
16126751,male,33,177.0,82.0,23,102.0,40.8,128
11684834,female,22,179.0,73.0,26,110.0,40.7,163
15615006,female,31,168.0,67.0,13,96.0,39.9,65
18193204,male,34,183.0,83.0,5,86.0,39.2,16
15002449,female,68,172.0,72.0,10,89.0,40.2,49
19067220,male,24,184.0,79.0,24,102.0,40.6,122
16733683,female,27,164.0,65.0,20,104.0,40.6,117
14611370,male,40,181.0,91.0,29,111.0,41.0,216
16284326,female,31,166.0,69.0,8,78.0,39.8,24
16890948,female,27,163.0,67.0,22,93.0,40.3,102
19573367,female,50,170.0,71.0,15,97.0,40.1,81
18263717,male,25,181.0,84.0,19,102.0,40.6,99
14217727,male,76,176.0,79.0,18,98.0,40.1,126
